"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"18558","JIWSHE","SM","JIWANRAM SHEODUTTRAI INDST LTD",0.01,1,"","",0,10,"INE0N5H01017",11.8,4.8,30,4.8,"","","",0,0,0,6.95,4.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JIWANRAM"
"18561","716D50","GS","7.16% G-SEC. 20 Sep 50",0.01,1,"","",0,100,"IN0020200054",0,0,120,96.65,"","","",0,0,0,108.15,97.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","716GS2050"
"18562","MITLIF","EQ","MITTAL LIFE STYLE LIMITED",0.01,1,"","",0,1,"INE997Y01027",2.5,1,13,0.66,"","","",0,0,0,1.24,0.84,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MITTAL"
"18564","LTTEC","EQ","L&T TECHNOLOGIES LIMITED",0.01,1,"","",0,2,"INE010V01017",5645,3891,6000,712.25,"","","",0,0,0,4700.5,3133.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LTTS"
"18566","RRKAB","EQ","R R KABEL LTD",0.01,1,"","",0,5,"INE777K01022",1562.6,853.55,1901.95,853.55,"","","",0,0,0,1770.6,1180.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RRKABEL"
"18571","GNAAXL","EQ","G N A AXLES LIMITED",0.01,1,"","",0,10,"INE934S01014",410,271.05,583.25,63.08,"","","",0,0,0,425.2,283.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GNA"
"18581","KIRBRO","EQ","KIRLOSKAR BROTHERS LIMITED",0.01,1,"","",0,2,"INE732A01036",2475,1422.35,2684,60.25,"","","",0,0,0,1920.2,1280.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KIRLOSBROS"
"18588","VALENG","BE","VALECHA ENGINEERING LIMITED",0.01,1,"","",0,10,"INE624C01015",0,0,239.97,16.85,"","","",0,0,0,20.16,18.24,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VALECHAENG"
"18589","HUSCON","SM","HUSYS CONSULTING LIMITED",0.01,1,"","",0,10,"INE336T01010",0,0,131.85,20.5,"","","",0,0,0,89.4,80.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HUSYSLTD"
"18591","UNICON","ST","UNIHEALTH HOSPITALS LIMITED",0.01,1,"","",0,10,"INE0PRF01011",390.6,120,390.6,109,"","","",0,0,0,310.8,281.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UNIHEALTH"
