security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange
100,AMARAJABAT,Amara Raja Batteries,EQ,5,1,ES,E,NSE
13643,ELECON,Elecon Eng. Co.,EQ,5,1,ES,E,NSE
18011,WHIRLPOOL,Whirlpool,EQ,5,1,ES,E,NSE
14582,SRHHYPOLTD,Sree Rayalseema Hhp,EQ,5,1,ES,E,NSE
10922,OMAXAUTO,Omax Autos,EQ,5,1,ES,E,NSE
14366,IDEA,Vodafone Idea,EQ,5,1,ES,E,NSE
940,PGHL,Procter & Gamble Health,EQ,5,1,ES,E,NSE
17651,POKARNA,Pokarna,EQ,5,1,ES,E,NSE
25088,ASAHISONG,Asahi Songwon Color,EQ,5,1,ES,E,NSE
11532,ULTRACEMCO,Ultratech Cement,EQ,5,1,ES,E,NSE
11880,JSWHL,JSW Holdings,EQ,5,1,ES,E,NSE
395,BEML,BEML,EQ,5,1,ES,E,NSE
4749,CONCOR,Container Corp Of Ind,EQ,5,1,ES,E,NSE
4747,INDNIPPON,India Nippon Electricals,EQ,5,1,ES,E,NSE
25584,TRITURBINE,Triveni Turbines,EQ,5,1,ES,E,NSE
13270,JKCEMENT,JK Cement,EQ,5,1,ES,E,NSE
15555,HCG,Healthcare Global Enterprises,EQ,5,1,ES,E,NSE
1360,HIMATSEIDE,Himatsingka Seide,EQ,5,1,ES,E,NSE
3024,JINDALSAW,Jindal Saw,EQ,5,1,ES,E,NSE
10717,TIMESGTY,Times Guaranty,EQ,5,1,ES,E,NSE
1997,LICHSGFIN,LIC Housing Finance,EQ,5,1,ES,E,NSE
17547,AMRUTANJAN,Amrutajan Health,EQ,5,1,ES,E,NSE
11435,SPANDANA,Spandana Sphoorty Fin,EQ,5,1,ES,E,NSE
14771,TARMAT,Tarmat,EQ,5,1,ES,E,NSE
31837,SREEL,Sreeleathers,EQ,5,1,ES,E,NSE
17945,SUVENPHAR,Suven Pharmaceuticals,EQ,5,1,ES,E,NSE
14111,NETWORK18,Network18 Media,EQ,5,1,ES,E,NSE
11580,WESTLIFE,Westlife Foodworld,EQ,5,1,ES,E,NSE
1835,KANORICHEM,Kanoria Chemicals & Indus,EQ,5,1,ES,E,NSE
6944,GANECOS,Ganesha Ecosphere,EQ,5,1,ES,E,NSE
3715,VLSFINANCE,VLS Finance,EQ,5,1,ES,E,NSE
11423,DATAMATICS,Datamatics Global Ser,EQ,5,1,ES,E,NSE
3766,WHEELS,Wheels India,EQ,5,1,ES,E,NSE
7109,JMA,Jullundur Mot Agency,EQ,5,1,ES,E,NSE
10577,KRBL,KRBL,EQ,5,1,ES,E,NSE
19578,UGARSUGAR,Ugar Sugar Works,EQ,5,1,ES,E,NSE
4014,NAVA,Nava,EQ,5,1,ES,E,NSE
2816,RALLIS,Rallis India,EQ,5,1,ES,E,NSE
21951,HFCL,HFCL,EQ,5,1,ES,E,NSE
20616,SUPERHOUSE,Superhouse,EQ,5,1,ES,E,NSE
11884,MANINDS,Man Industries,EQ,5,1,ES,E,NSE
